ts,wired_gb,free_gb,rss_gb
1788048601,50.30,3.51,48.13
1788048606,50.30,3.52,48.12
1788048611,50.30,3.51,48.13
1788048617,50.27,2.70,46.33
1788048622,50.31,2.78,46.36
1788048627,50.30,2.84,46.36
1788048632,50.30,4.60,46.13
1788048637,50.30,4.59,46.13
1788048642,50.30,4.59,46.14
1788048647,50.29,4.61,46.14
1788048652,50.29,4.58,46.14
1788048657,50.29,4.58,46.14
1788048662,50.29,4.58,46.15
1788048667,50.29,4.40,46.48
1788048672,50.28,4.37,46.82
1788048677,50.28,4.22,47.01
1788048682,50.28,3.60,48.38
1788048687,50.29,2.77,47.00
1788048692,50.26,2.80,47.20
1788048697,50.25,2.78,47.20
1788048702,50.29,4.98,47.21
1788048707,50.26,4.87,47.21
1788048712,50.26,4.90,47.21
1788048717,50.30,4.92,47.21
1788048722,50.30,4.91,47.22
1788048727,50.29,4.90,47.22
1788048732,50.30,4.90,47.22
1788048737,50.29,4.91,47.22
1788048742,50.29,4.91,47.23
1788048747,50.41,4.82,47.23
1788048752,50.29,4.88,47.23
1788048757,50.29,4.90,47.23
1788048762,50.29,4.90,47.23
1788048767,50.43,4.79,47.23
1788048772,50.29,4.90,47.24
1788048777,50.29,4.91,47.24
1788048782,50.25,4.90,47.24
1788048787,50.29,4.90,47.24
1788048792,50.29,4.90,47.24
1788048797,50.25,4.90,47.24
1788048802,50.29,4.86,47.25
1788048807,50.29,4.87,47.25
1788048812,50.29,4.86,47.25
1788048817,50.26,4.88,47.25
1788048822,50.29,4.86,47.25
1788048827,50.29,4.82,47.25
1788048832,50.29,4.82,47.25
1788048837,50.44,4.61,47.26
1788048843,50.30,4.71,47.26
1788048848,50.30,4.66,47.59
1788048853,50.26,4.68,47.60
1788048858,50.30,4.67,47.60
1788048863,50.29,4.67,47.60
1788048868,50.29,4.67,47.60
1788048873,50.35,4.51,47.61
1788048878,50.26,4.61,47.61
1788048883,50.30,4.61,47.61
1788048888,50.29,4.62,47.61
1788048893,50.26,4.62,47.62
1788048898,50.30,4.62,47.62
1788048903,50.26,4.59,47.62
1788048908,50.30,4.59,47.63
1788048913,50.29,4.59,47.63
1788048918,50.30,4.59,47.63
1788048923,50.30,4.59,47.64
1788048928,50.30,4.59,47.64
1788048933,50.26,4.60,47.64
1788048938,50.29,4.59,47.64
1788048943,50.29,4.59,47.65
1788048948,50.29,4.59,47.65
1788048953,50.29,4.57,47.65
1788048958,50.29,4.56,47.65
1788048963,50.29,4.56,47.65
1788048968,50.29,4.51,47.66
1788048973,50.29,4.54,47.66
1788048978,50.29,4.56,47.66
1788048983,50.29,4.56,47.66
1788048988,50.29,4.56,47.66
1788048993,50.29,4.56,47.67
1788048998,50.29,4.57,47.67
1788049003,50.43,4.45,47.67
1788049008,50.26,4.55,47.68
1788049013,50.30,4.58,47.68
1788049018,50.26,4.58,47.68
1788049023,50.30,4.57,47.68
1788049028,50.30,4.57,47.69
1788049033,50.55,4.29,47.69
1788049038,50.30,4.49,47.69
1788049043,50.30,4.51,47.69
1788049048,50.30,4.43,47.69
1788049053,50.30,4.47,47.69
1788049058,50.30,4.34,48.13
1788049063,50.30,4.31,48.57
1788049068,50.28,4.32,48.57
1788049073,50.29,4.31,48.57
1788049078,50.29,4.31,48.57
1788049084,50.30,4.31,48.63
1788049089,50.30,4.30,48.63
1788049094,50.31,4.20,48.63
1788049099,50.26,4.25,48.63
1788049104,50.31,4.09,48.63
1788049109,50.28,3.95,48.63
1788049114,50.31,3.99,48.64
1788049119,50.26,4.02,48.64
1788049124,50.31,3.98,48.64
1788049129,50.27,4.01,48.64
1788049134,50.31,4.00,48.64
1788049139,50.31,3.99,48.64
1788049144,50.31,3.97,48.65
1788049149,50.31,4.00,48.65
1788049154,50.31,4.02,48.65
1788049159,50.31,4.00,48.65
1788049164,50.31,3.97,48.66
1788049169,50.31,3.98,48.66
1788049174,50.31,4.01,48.66
1788049179,50.31,3.99,48.66
1788049184,50.31,4.01,48.67
1788049189,50.31,4.02,48.67
1788049194,50.31,4.01,48.67
1788049199,50.31,4.01,48.67
1788049204,50.27,4.01,48.67
1788049209,50.27,4.02,48.68
1788049214,50.44,3.93,48.68
1788049219,50.31,4.01,48.68
1788049224,50.29,4.03,48.68
1788049229,50.31,4.06,48.68
1788049234,50.31,4.07,48.68
1788049239,50.44,3.94,48.68
1788049244,50.31,4.06,48.69
1788049249,50.31,4.07,48.69
1788049254,50.31,4.07,48.69
1788049259,50.31,4.08,48.69
1788049264,50.31,4.26,49.05
1788049269,50.31,4.24,48.87
1788049274,50.26,2.78,46.91
1788049279,50.30,2.72,46.80
1788049284,50.30,2.83,47.03
1788049289,50.30,2.87,47.18
1788049294,50.54,2.51,46.72
1788049300,50.29,2.77,46.73
1788049305,50.29,2.76,46.73
1788049310,50.29,5.09,45.84
1788049315,50.29,5.06,45.84
1788049320,50.29,5.05,45.84
1788049325,50.28,5.05,45.84
1788049330,50.28,5.01,45.84
1788049335,50.28,5.01,45.84
1788049340,50.27,5.00,45.85
1788049345,50.27,5.00,45.85
1788049350,50.27,4.98,45.85
1788049355,50.27,5.01,45.85
1788049360,50.27,5.01,45.85
1788049365,50.22,5.03,45.86
1788049370,50.22,5.04,45.86
1788049375,50.22,5.00,45.86
1788049380,50.26,4.93,45.86
1788049385,50.26,4.93,45.86
1788049390,50.22,4.94,45.86
1788049395,50.25,4.92,45.87
1788049400,50.25,4.92,45.87
1788049405,50.25,4.92,45.87
1788049410,50.25,4.91,45.87
1788049415,50.25,4.92,45.87
1788049420,50.25,4.92,45.87
1788049425,50.24,4.95,45.87
1788049430,50.24,4.94,45.88
1788049435,50.24,4.94,45.88
1788049440,50.25,4.88,45.88
1788049445,50.25,4.90,45.89
1788049450,50.25,4.90,45.89
1788049455,50.39,4.74,45.89
1788049460,50.42,4.65,45.89
1788049465,50.32,4.69,45.89
1788049470,50.32,4.67,45.89
1788049475,50.05,4.83,45.89
1788049480,50.32,4.71,45.89
1788049485,50.01,4.86,45.89
1788049490,50.20,4.74,45.89
1788049495,50.24,4.72,45.89
1788049500,50.18,4.78,45.89
1788049505,50.01,4.86,45.89
1788049510,50.46,4.56,45.89
1788049515,50.01,4.80,45.89
1788049520,50.43,4.57,45.89
1788049525,50.25,4.65,45.89
1788049530,50.75,4.06,45.89
1788049535,50.70,3.88,45.89
1788049541,50.83,3.47,45.89
1788049546,50.76,3.55,45.89
1788049551,50.04,4.02,45.89
1788049556,50.04,4.13,45.89
1788049561,50.43,3.83,45.89
1788049566,50.04,4.04,45.89
1788049571,50.48,3.81,45.89
1788049576,50.40,3.81,45.89
1788049581,50.44,3.75,45.89
1788049586,50.49,3.80,45.89
1788049591,50.84,3.31,45.89
1788049596,50.50,3.45,45.89
1788049601,50.31,3.62,45.89
1788049606,50.32,3.68,45.89
1788049611,50.33,3.64,45.89
1788049616,50.31,3.65,45.89
1788049621,50.46,3.63,45.89
1788049626,50.31,3.74,45.89
1788049631,50.32,3.76,45.89
1788049636,50.46,3.67,45.89
1788049641,50.45,3.59,45.89
1788049646,50.76,3.37,45.89
1788049651,50.86,3.40,45.89
1788049656,50.85,3.41,45.89
1788049661,50.76,3.54,45.81
1788049666,50.92,3.46,45.81
1788049671,51.05,3.20,45.78
1788049676,50.72,3.16,45.19
1788049681,50.90,2.96,45.16
1788049686,50.71,3.16,45.16
1788049691,50.89,3.04,45.16
1788049696,50.94,3.00,45.16
1788049701,50.81,3.16,45.17
1788049706,50.93,3.04,45.17
1788049711,50.89,3.15,45.17
1788049716,50.89,3.12,45.17
1788049721,50.90,3.00,45.08
1788049726,50.87,3.07,45.09
1788049731,50.87,3.04,45.09
1788049736,50.57,3.14,45.09
1788049741,50.82,2.98,45.06
1788049746,50.93,2.91,45.10
1788049751,50.73,2.79,44.94
1788049756,50.88,2.68,44.92
1788049761,50.82,2.68,44.90
1788049766,50.79,2.83,45.09
1788049771,50.64,2.93,45.09
1788049777,50.73,2.83,45.09
1788049782,50.63,2.97,45.09
1788049787,50.79,2.89,45.06
1788049792,50.60,2.94,45.10
1788049797,50.73,2.82,45.10
1788049802,50.63,2.93,45.10
1788049807,50.86,2.82,45.10
1788049812,50.80,2.98,45.11
1788049817,50.84,3.01,45.11
1788049822,50.82,3.01,45.11
1788049827,50.82,3.01,45.11
1788049832,50.83,3.27,45.11
1788049837,50.81,3.28,45.11
1788049842,50.81,3.29,45.11
1788049847,50.81,3.24,45.11
1788049852,50.97,3.22,45.11
1788049857,50.96,3.23,45.11
1788049862,51.07,2.91,45.62
1788049867,50.81,3.16,45.62
1788049872,50.53,3.36,45.62
1788049877,51.12,3.26,45.62
1788049882,50.65,3.50,45.63
1788049887,50.46,3.45,45.63
1788049892,50.41,3.52,45.63
1788049897,50.10,3.78,45.63
1788049902,50.47,3.56,45.63
1788049907,50.54,3.57,45.64
1788049912,50.53,3.54,45.64
1788049917,50.57,3.42,45.64
1788049922,50.54,3.48,45.64
1788049927,50.56,3.46,45.64
1788049932,50.55,3.46,45.65
1788049937,50.56,3.46,45.65
1788049942,50.56,3.45,45.65
1788049947,50.51,3.45,45.65
1788049952,50.57,3.44,45.65
1788049957,50.54,3.43,45.66
1788049962,50.61,3.37,45.66
1788049967,50.38,3.52,45.66
1788049972,50.35,3.57,45.66
1788049977,50.38,3.56,45.66
1788049982,50.37,3.54,45.66
1788049987,50.39,3.46,45.67
1788049992,50.36,3.49,45.67
1788049997,50.09,3.67,45.67
1788050002,50.06,3.74,45.67
1788050007,50.06,3.78,45.67
1788050012,50.06,3.79,45.67
1788050017,50.06,3.75,45.68
1788050022,50.06,3.77,45.68
1788050027,50.05,3.80,45.68
1788050033,50.32,3.58,45.68
1788050038,50.46,3.45,45.68
1788050043,50.48,3.50,45.68
1788050048,50.34,3.48,45.68
1788050053,50.49,3.40,45.68
1788050058,50.54,3.35,45.69
1788050063,50.48,3.36,45.69
1788050068,50.48,3.36,45.69
1788050073,50.48,3.36,45.69
1788050078,50.52,3.36,45.69
1788050083,50.51,3.36,45.70
1788050088,50.52,3.36,45.70
1788050093,50.52,3.35,45.70
1788050098,50.47,3.39,45.70
1788050103,50.52,3.35,45.70
1788050108,50.47,3.37,45.70
1788050113,50.52,3.35,45.71
1788050118,50.51,3.34,45.71
1788050123,50.43,3.38,45.71
1788050128,50.09,3.56,45.71
1788050133,50.06,3.66,45.71
1788050138,50.06,3.71,45.71
1788050143,50.06,3.69,45.72
1788050148,50.34,3.56,45.72
1788050153,50.48,3.40,45.72
1788050158,50.33,3.46,45.72
1788050163,50.35,3.46,45.72
1788050168,50.35,3.43,45.72
1788050173,50.33,3.50,45.72
1788050178,50.49,3.39,45.72
1788050183,50.10,3.50,45.73
1788050188,50.34,3.43,45.73
1788050193,50.38,3.35,45.73
1788050198,50.39,3.16,46.34
1788050203,50.39,3.16,46.34
1788050208,50.50,3.23,46.88
1788050213,50.49,3.26,46.97
1788050218,50.52,3.26,46.96
1788050223,50.52,3.25,46.89
1788050228,50.56,3.23,46.89
1788050233,50.43,3.29,46.89
1788050238,50.51,3.23,46.89
1788050243,50.51,3.28,46.89
1788050248,50.54,3.21,46.90
1788050253,50.37,3.28,46.83
1788050258,50.37,3.31,46.83
1788050263,50.44,3.22,46.83
1788050268,50.57,3.20,46.83
1788050273,50.47,3.22,46.84
1788050278,50.45,3.24,46.80
1788050283,50.44,3.25,46.80
1788050288,50.52,3.18,46.80
1788050293,50.53,3.18,46.79
1788050299,50.48,3.24,46.79
1788050304,50.49,3.20,46.80
1788050309,50.47,3.21,46.80
1788050314,50.53,3.19,46.80
1788050319,50.53,3.18,46.80
1788050324,50.43,3.23,46.80
1788050329,50.53,3.19,46.80
1788050334,50.53,3.18,46.81
1788050339,50.51,3.24,46.81
1788050344,50.51,3.22,46.81
1788050349,46.89,13.13,0
1788050354,3.19,56.82,0
1788050359,3.19,55.18,23.33
1788050364,40.53,15.09,37.32
1788050369,38.42,18.11,23.92
1788050374,45.67,11.86,41.56
1788050379,45.63,11.69,41.56
1788050384,45.76,11.63,41.56
1788050389,45.86,10.32,41.56
1788050394,45.83,9.72,41.59
1788050399,45.79,9.41,41.68
1788050404,45.81,9.36,41.70
1788050409,45.78,9.36,41.72
1788050414,45.85,9.28,42.02
1788050419,45.83,9.17,42.13
