94.42.213.448 I slot print_timing: id  0 | task 777 | prompt processing, n_tokens =  17621, progress = 1.00, t = 400.25 s / 44.02 tokens per second
98.06.346.760 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  26624, progress = 0.20, t = 148.69 s / 179.06 tokens per second
98.21.103.168 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  28672, progress = 0.21, t = 163.33 s / 175.55 tokens per second
98.36.294.212 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  30720, progress = 0.21, t = 178.40 s / 172.19 tokens per second
98.51.965.352 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  32768, progress = 0.22, t = 193.94 s / 168.96 tokens per second
99.08.069.258 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  34816, progress = 0.23, t = 209.91 s / 165.86 tokens per second
99.24.607.669 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  36864, progress = 0.24, t = 226.33 s / 162.87 tokens per second
99.41.583.405 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  38912, progress = 0.25, t = 243.19 s / 160.01 tokens per second
99.58.992.048 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  40960, progress = 0.26, t = 260.46 s / 157.26 tokens per second
100.16.839.829 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  43008, progress = 0.27, t = 278.20 s / 154.59 tokens per second
100.35.118.230 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  45056, progress = 0.28, t = 296.36 s / 152.03 tokens per second
100.53.866.607 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  47104, progress = 0.29, t = 314.98 s / 149.55 tokens per second
100.55.209.925 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  47217, progress = 0.29, t = 320.14 s / 147.49 tokens per second
101.14.238.945 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  49265, progress = 0.30, t = 335.22 s / 146.96 tokens per second
101.33.924.064 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  51313, progress = 0.31, t = 354.79 s / 144.63 tokens per second
101.54.120.571 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  53361, progress = 0.31, t = 374.85 s / 142.35 tokens per second
102.14.695.138 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  55409, progress = 0.32, t = 395.31 s / 140.17 tokens per second
102.35.681.903 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  57457, progress = 0.33, t = 416.17 s / 138.06 tokens per second
102.57.150.324 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  59505, progress = 0.34, t = 437.49 s / 136.01 tokens per second
103.19.097.415 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  61553, progress = 0.35, t = 459.32 s / 134.01 tokens per second
103.41.366.667 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  63601, progress = 0.36, t = 481.47 s / 132.10 tokens per second
104.04.139.743 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  65649, progress = 0.37, t = 504.15 s / 130.22 tokens per second
104.27.375.538 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  67697, progress = 0.38, t = 527.23 s / 128.40 tokens per second
104.51.054.308 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  69745, progress = 0.39, t = 550.78 s / 126.63 tokens per second
105.15.196.094 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  71793, progress = 0.39, t = 574.81 s / 124.90 tokens per second
105.39.801.083 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  73841, progress = 0.40, t = 599.27 s / 123.22 tokens per second
106.04.863.163 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  75889, progress = 0.41, t = 624.18 s / 121.58 tokens per second
106.30.335.471 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  77937, progress = 0.42, t = 649.57 s / 119.98 tokens per second
106.56.319.015 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  79985, progress = 0.43, t = 675.40 s / 118.43 tokens per second
107.22.743.048 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  82033, progress = 0.44, t = 701.71 s / 116.90 tokens per second
107.49.660.986 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  84081, progress = 0.45, t = 728.50 s / 115.42 tokens per second
108.16.941.677 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  86129, progress = 0.46, t = 755.68 s / 113.98 tokens per second
108.44.785.184 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  88177, progress = 0.47, t = 783.37 s / 112.56 tokens per second
109.13.053.436 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  90225, progress = 0.48, t = 811.52 s / 111.18 tokens per second
109.40.976.830 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  92201, progress = 0.48, t = 840.09 s / 109.75 tokens per second
110.10.068.762 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  94249, progress = 0.49, t = 868.27 s / 108.55 tokens per second
110.39.639.047 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  96297, progress = 0.50, t = 897.71 s / 107.27 tokens per second
111.09.711.356 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens =  98345, progress = 0.51, t = 927.66 s / 106.01 tokens per second
111.40.271.510 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 100393, progress = 0.52, t = 958.05 s / 104.79 tokens per second
112.11.298.597 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 102441, progress = 0.53, t = 988.97 s / 103.58 tokens per second
112.42.865.416 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 104489, progress = 0.54, t = 1020.39 s / 102.40 tokens per second
113.14.939.111 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 106537, progress = 0.55, t = 1052.33 s / 101.24 tokens per second
113.47.569.338 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 108585, progress = 0.56, t = 1084.83 s / 100.09 tokens per second
114.20.754.708 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 110633, progress = 0.57, t = 1117.86 s / 98.97 tokens per second
114.54.598.248 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 112681, progress = 0.57, t = 1151.46 s / 97.86 tokens per second
115.28.760.149 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 114729, progress = 0.58, t = 1185.66 s / 96.76 tokens per second
116.03.513.440 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 116777, progress = 0.59, t = 1220.18 s / 95.70 tokens per second
116.38.832.715 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 118825, progress = 0.60, t = 1255.25 s / 94.66 tokens per second
117.15.010.506 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 120873, progress = 0.61, t = 1291.24 s / 93.61 tokens per second
117.51.361.119 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 122921, progress = 0.62, t = 1327.56 s / 92.59 tokens per second
118.28.272.839 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 124969, progress = 0.63, t = 1364.30 s / 91.60 tokens per second
119.05.795.823 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 127017, progress = 0.64, t = 1401.61 s / 90.62 tokens per second
119.43.903.361 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 129065, progress = 0.65, t = 1439.61 s / 89.65 tokens per second
120.22.492.621 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 131113, progress = 0.65, t = 1478.04 s / 88.71 tokens per second
121.01.664.382 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 133161, progress = 0.66, t = 1517.03 s / 87.78 tokens per second
121.41.384.288 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 135209, progress = 0.67, t = 1556.62 s / 86.86 tokens per second
122.21.650.506 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 137257, progress = 0.68, t = 1596.75 s / 85.96 tokens per second
122.49.025.697 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 138610, progress = 0.69, t = 1627.79 s / 85.15 tokens per second
123.30.041.204 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 140658, progress = 0.70, t = 1664.89 s / 84.48 tokens per second
124.11.922.189 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 142706, progress = 0.71, t = 1706.59 s / 83.62 tokens per second
124.54.288.371 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 144754, progress = 0.71, t = 1748.83 s / 82.77 tokens per second
125.36.996.739 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 146802, progress = 0.72, t = 1791.47 s / 81.94 tokens per second
126.20.300.881 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 148850, progress = 0.73, t = 1834.56 s / 81.14 tokens per second
127.04.106.742 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 150898, progress = 0.74, t = 1878.22 s / 80.34 tokens per second
127.48.536.891 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 152946, progress = 0.75, t = 1922.47 s / 79.56 tokens per second
128.33.332.698 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 154994, progress = 0.76, t = 1967.19 s / 78.79 tokens per second
129.18.533.992 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 157042, progress = 0.77, t = 2012.22 s / 78.04 tokens per second
130.04.283.889 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 159090, progress = 0.78, t = 2057.84 s / 77.31 tokens per second
130.50.437.310 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 161138, progress = 0.79, t = 2103.89 s / 76.59 tokens per second
131.37.039.449 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 163186, progress = 0.80, t = 2150.39 s / 75.89 tokens per second
132.24.275.501 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 165234, progress = 0.80, t = 2197.42 s / 75.19 tokens per second
133.11.853.771 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 167282, progress = 0.81, t = 2244.93 s / 74.52 tokens per second
133.59.923.320 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 169330, progress = 0.82, t = 2292.85 s / 73.85 tokens per second
134.48.501.743 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 171378, progress = 0.83, t = 2341.26 s / 73.20 tokens per second
135.19.410.193 W srv          stop: cancel task, id_task = 926
135.37.681.414 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 173426, progress = 0.84, t = 2390.28 s / 72.55 tokens per second
136.27.291.783 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 175474, progress = 0.85, t = 2439.73 s / 71.92 tokens per second
137.17.343.368 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 177522, progress = 0.86, t = 2489.68 s / 71.30 tokens per second
138.07.908.861 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 179570, progress = 0.87, t = 2540.08 s / 70.69 tokens per second
138.58.888.310 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 181618, progress = 0.88, t = 2591.05 s / 70.09 tokens per second
139.33.530.627 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 182984, progress = 0.88, t = 2630.19 s / 69.57 tokens per second
139.35.211.624 I slot print_timing: id  0 | task 845 | prompt processing, n_tokens = 183009, progress = 0.88, t = 2640.35 s / 69.31 tokens per second
